x,y,z,proc_id
8587,5834,14,661799d36cdb4717841b6efe6d6acd04
8584,5837,14,661799d36cdb4717841b6efe6d6acd04
8586,5833,14,661799d36cdb4717841b6efe6d6acd04
8588,5835,14,661799d36cdb4717841b6efe6d6acd04
8586,5838,14,661799d36cdb4717841b6efe6d6acd04
8584,5833,14,661799d36cdb4717841b6efe6d6acd04
8588,5837,14,661799d36cdb4717841b6efe6d6acd04
8584,5838,14,661799d36cdb4717841b6efe6d6acd04
8589,5835,14,777ed45c2415a14eb535e77f04a956e1
8588,5838,14,661799d36cdb4717841b6efe6d6acd04
8589,5833,14,777ed45c2415a14eb535e77f04a956e1
8589,5837,14,777ed45c2415a14eb535e77f04a956e1
8589,5836,14,661799d36cdb4717841b6efe6d6acd04
8589,5834,14,661799d36cdb4717841b6efe6d6acd04
8589,5838,14,661799d36cdb4717841b6efe6d6acd04
8590,5835,14,777ed45c2415a14eb535e77f04a956e1
8590,5836,14,661799d36cdb4717841b6efe6d6acd04
8590,5837,14,777ed45c2415a14eb535e77f04a956e1
8590,5833,14,777ed45c2415a14eb535e77f04a956e1
8590,5834,14,661799d36cdb4717841b6efe6d6acd04
8590,5838,14,661799d36cdb4717841b6efe6d6acd04
8591,5834,14,777ed45c2415a14eb535e77f04a956e1
8592,5833,14,777ed45c2415a14eb535e77f04a956e1
8591,5837,14,777ed45c2415a14eb535e77f04a956e1
8591,5833,14,777ed45c2415a14eb535e77f04a956e1
8592,5834,14,777ed45c2415a14eb535e77f04a956e1
8592,5838,14,777ed45c2415a14eb535e77f04a956e1
8591,5835,14,661799d36cdb4717841b6efe6d6acd04
8591,5837,14,661799d36cdb4717841b6efe6d6acd04
8592,5835,14,661799d36cdb4717841b6efe6d6acd04
8592,5834,14,661799d36cdb4717841b6efe6d6acd04
8592,5837,14,661799d36cdb4717841b6efe6d6acd04
8592,5838,14,661799d36cdb4717841b6efe6d6acd04
8593,5835,14,777ed45c2415a14eb535e77f04a956e1
8593,5833,14,777ed45c2415a14eb535e77f04a956e1
8593,5837,14,777ed45c2415a14eb535e77f04a956e1
8593,5834,14,661799d36cdb4717841b6efe6d6acd04
8593,5836,14,661799d36cdb4717841b6efe6d6acd04
8593,5838,14,661799d36cdb4717841b6efe6d6acd04
8594,5836,14,777ed45c2415a14eb535e77f04a956e1
8594,5835,14,777ed45c2415a14eb535e77f04a956e1
8594,5834,14,777ed45c2415a14eb535e77f04a956e1
8595,5836,14,777ed45c2415a14eb535e77f04a956e1
8594,5833,14,777ed45c2415a14eb535e77f04a956e1
8595,5833,14,777ed45c2415a14eb535e77f04a956e1
8595,5838,14,777ed45c2415a14eb535e77f04a956e1
8594,5834,14,661799d36cdb4717841b6efe6d6acd04
8594,5837,14,661799d36cdb4717841b6efe6d6acd04
8595,5834,14,661799d36cdb4717841b6efe6d6acd04
8595,5837,14,661799d36cdb4717841b6efe6d6acd04
8594,5838,14,661799d36cdb4717841b6efe6d6acd04
8595,5833,14,661799d36cdb4717841b6efe6d6acd04
8595,5838,14,661799d36cdb4717841b6efe6d6acd04
266,182,9,777ed45c2415a14eb535e77f04a956e1
267,183,9,777ed45c2415a14eb535e77f04a956e1
268,183,9,777ed45c2415a14eb535e77f04a956e1
266,181,9,777ed45c2415a14eb535e77f04a956e1
268,184,9,777ed45c2415a14eb535e77f04a956e1
269,184,9,777ed45c2415a14eb535e77f04a956e1
267,180,9,777ed45c2415a14eb535e77f04a956e1
268,185,9,777ed45c2415a14eb535e77f04a956e1
266,180,9,777ed45c2415a14eb535e77f04a956e1
269,185,9,777ed45c2415a14eb535e77f04a956e1
267,181,9,661799d36cdb4717841b6efe6d6acd04
269,182,9,661799d36cdb4717841b6efe6d6acd04
266,183,9,661799d36cdb4717841b6efe6d6acd04
266,181,9,661799d36cdb4717841b6efe6d6acd04
268,184,9,661799d36cdb4717841b6efe6d6acd04
269,184,9,661799d36cdb4717841b6efe6d6acd04
267,180,9,661799d36cdb4717841b6efe6d6acd04
268,185,9,661799d36cdb4717841b6efe6d6acd04
266,180,9,661799d36cdb4717841b6efe6d6acd04
269,185,9,661799d36cdb4717841b6efe6d6acd04
268,183,9,661799d36cdb4717841b6efe6d6acd04
2150,1459,12,661799d36cdb4717841b6efe6d6acd04
267,182,9,661799d36cdb4717841b6efe6d6acd04
2149,1461,12,777ed45c2415a14eb535e77f04a956e1
2148,1461,12,777ed45c2415a14eb535e77f04a956e1
2147,1460,12,777ed45c2415a14eb535e77f04a956e1
2150,1460,12,777ed45c2415a14eb535e77f04a956e1
2148,1462,12,777ed45c2415a14eb535e77f04a956e1
2149,1462,12,777ed45c2415a14eb535e77f04a956e1
2149,1460,12,661799d36cdb4717841b6efe6d6acd04
8596,5841,14,777ed45c2415a14eb535e77f04a956e1
